time,p01,p02,p04,p07,p08,p09,p15,p17,p18,p19,p20,p21,p25,p26,p27,p28,p29,p31,p32,p33,p35,p36,p38,p40,p42,p43,p44
170,4.467646456282274,3.799142864223103,2.908219600550077,4.672604799668077,5.024519173223996,3.2487908185785748,4.517769679164487,4.558295630195744,2.7738063512886013,2.9205431256868915,2.5008909212189177,3.641981419006762,3.2665601040740873,4.463034187084402,3.6853182220955913,4.510491844258683,3.473348596804104,2.7179608042083685,4.738319399708497,3.205458703802771,3.1489472471666846,3.8888064355813334,2.5038137405784373,3.450893158028393,2.697925095710496,3.7024657489848747,3.909248427679938
175,4.478277213238719,3.883670147831677,2.8727820419877963,4.5560814334956445,5.039603916687635,3.2664308736293606,4.56394999762951,4.606083165742812,2.7880932863815486,2.8989881924527756,2.517985570879393,3.605861583884924,3.190875356892811,4.4871065230642175,3.672637536261954,4.5506625123565,3.496992290966338,2.73757588098339,4.712616983488677,3.1894781219701525,3.230033814397569,3.917322266017865,2.5152668615975347,3.5106594852551005,2.7369791279995805,3.7199353674371896,3.8966205584538787
180,4.496068690341955,3.825016817543763,2.8859011130166996,4.655095523205119,4.9568872525235195,3.209447133052287,4.579637276862368,4.642663386007566,2.759988664313958,2.901879619706657,2.552212989409539,3.594158265993836,3.226542527300885,4.48141026117514,3.6749825097485433,4.601562640764095,3.4736989983621887,2.685884828883355,4.685757323275706,3.238266301288053,3.242910684573356,3.939046684696233,2.528886120960995,3.5130535115434443,2.730290698419946,3.774083893419485,3.903129818267595
185,4.475147743044438,3.795713302624833,2.918114881969545,4.536602523657892,5.099179196841217,3.2380738781929432,4.591522231652276,4.687439610592826,2.7833626656064907,2.922601029239085,2.557557001290012,3.6432210110639334,3.2592346031781694,4.510407649595911,3.679833187763398,4.637297667208307,3.3323567070519275,2.764761512484061,4.667637503885554,3.1639991365874494,3.2439499122780195,4.025612528153712,2.5251532832272,3.575186343229776,2.6918494514661995,3.8316803691247823,3.933434208360273
190,4.4779208958145045,3.701418480525087,2.9627148806969426,4.60628477469171,5.079242922522825,3.276948161336145,4.601886933455016,4.684604296916344,2.7755056212957694,2.941085306589491,2.560494686156007,3.6578244500567325,3.3083791973023438,4.529294320596826,3.635255242202255,4.667965632496392,3.3754990124762436,2.7289149215999005,4.666754109742882,3.1855664277529803,3.2305464809515585,4.009126320174973,2.5334874877242273,3.5956673226700766,2.705247290198687,3.79223939715579,3.950812904526088
195,4.463171525399714,3.7090936985589384,2.9972167155271925,4.671390651634906,5.297437394592064,3.293234359509274,4.6218747094518875,4.691644840617202,2.761759378457574,2.943053311122047,2.564549173867996,3.6520986645089697,3.323831601805237,4.528221306331246,3.60903770867447,4.614285501987679,3.3824207336064633,2.7322778132126273,4.663506923220434,3.21729882499067,3.1847681878135137,4.033634842690798,2.5326328493572503,3.5865809338362453,2.7530743151980857,3.8061375996489835,3.9980094931614727
200,4.437058058611882,3.753075705886371,3.0349789008261903,4.648972854021413,5.1774710533435515,3.303364748528978,4.611695700884043,4.542660469571223,2.7735949507509416,2.974069955660063,2.59804237894692,3.6931475209829894,3.362490169140104,4.43550493601087,3.586896927591816,4.649700631886396,3.4062671398226847,2.7129668776537628,4.660268799276389,3.2743765275807832,3.1579043989046602,4.077679809034032,2.550103665832438,3.613118124160563,2.814101988195481,3.85654526396697,4.074211722485184
205,4.439866552500637,3.754308858782201,2.9868304808995303,4.426415201694158,4.96908258956386,3.3122628469267505,4.6207498625636525,4.59132095161432,2.7788841490574936,2.964077399811907,2.611607873932756,3.6719493622300967,3.320141022410665,4.48139778704714,3.5629908609060883,4.7288024302583755,3.4267919362583115,2.7537190183699405,4.647714473014703,3.2856768242057064,3.1971718008882393,4.094291059807596,2.534770238181095,3.6680854854006806,2.8307525464403205,3.8477074862453318,4.094652676192258
210,4.447390017912843,3.7072993894606316,2.9639618648168033,4.4960066666825504,4.820653480129206,3.2626278451802557,4.627737812872758,4.652850677625349,2.7694626609106647,2.984095218314472,2.6093015525353334,3.700962504684547,3.3601840284052384,4.552187775037788,3.5896052934238525,4.731351644195438,3.39594241604999,2.739673987549383,4.643973619385095,3.374411781894891,3.2019534557882285,3.9973751861758937,2.5261261499832695,3.616274543223839,2.8062243488144647,3.847007758858241,4.109229854353354
215,4.466507888041373,3.7460790418705705,2.9349829066763804,4.482633431577729,4.7653096189500435,3.2725552198759944,4.652734951051079,4.723803670472776,2.791746607901027,2.991492101396254,2.574897613029589,3.767584443259946,3.380965630242698,4.514393055479089,3.522819762575598,4.723320465274555,3.4073095804400055,2.75271130904862,4.659738219066186,3.2743623878803785,3.1900813132959924,4.045056516103588,2.517963587738799,3.6408707293452363,2.7686559256707794,3.849817252915092,4.156041596023283
220,4.503426249310094,3.807026716235662,2.9635016779504313,4.632453499000487,4.701065790421025,3.2195164351888863,4.650167812587932,4.749480449154541,2.789736485686277,2.9796015067868655,2.581345857815462,3.7233200092640413,3.3922673719115637,4.626217035513465,3.549398891717375,4.748631219697673,3.4428982618757473,2.762281300925796,4.702523053917855,3.3430469762250175,3.1746582493717512,4.07812704901146,2.541589093718417,3.709521959583198,2.7736258135080205,3.872691303473361,4.173917977839916
225,4.4979875526554975,3.898094735032992,2.999134377390609,4.711848400282506,4.715795259130537,3.1668602449824426,4.648119911259603,4.714020623060265,2.778345510577062,2.9742868678302,2.5941929990378574,3.739908115283533,3.3709305988346614,4.672766149472102,3.580719923435101,4.810535600809831,3.458370895585797,2.798100380567409,4.761906618260295,3.3844503977715004,3.1471010097725003,4.199419622506224,2.5800127211437944,3.7054568091871296,2.792938071754424,3.89292248718983,4.1467386446464705
230,4.484122075447839,3.963711567493919,3.0911430418185786,4.735745894061399,4.581893619668873,3.0849482156428594,4.603085926659115,4.569945660239666,2.796214751208976,2.9657915674178312,2.6183210372377514,3.777268063861874,3.348998016641194,4.738683611357311,3.6277022334906137,4.952351997985874,3.499802110680049,2.781834310084567,4.78520788548015,3.421026242631472,3.18733463736451,4.3426552482982865,2.615123020727508,3.744075228489762,2.806651080565953,3.8945902541368445,4.163172113977051
235,4.526098379246525,3.9731390894119993,3.1679956426815803,4.653195926387804,4.698898936988546,3.071379460185273,4.582532095387938,4.5937468662474625,2.8106470887356148,2.957505371970161,2.630004821350974,3.808960620217978,3.3257199546759817,4.751401117895384,3.5925676258959673,5.075860221985262,3.5209998156265794,2.7746693006115395,4.8003817777067646,3.460300422410138,3.2117233489783987,4.356513422615307,2.6197619702869344,3.7640269377953173,2.8183436111978644,3.869579560528147,4.196306494349974
240,4.67188943104988,3.8938036195834815,3.1911586460558423,4.421666456160261,5.288955015646206,3.185153943250887,4.623252042718466,4.953244997670307,2.80929687774919,2.951614591029218,2.6133744348101207,3.815576204063065,3.3074890559465198,4.6696131269752374,3.4085579167293534,5.1257766752018945,3.500510625258019,2.799216763700601,4.813833818655972,3.5056677264578773,3.1817684449294417,4.132121226518226,2.571249776532668,3.741579908588029,2.8257562214963907,3.808737109509149,4.248337465550875
