time,p01,p02,p04,p07,p08,p09,p15,p17,p18,p19,p20,p21,p25,p26,p27,p28,p29,p31,p32,p33,p35,p36,p38,p40,p42,p43,p44
175,4.578277537449237,3.842222243228318,3.255269356958491,4.807602600589382,5.210342693813688,3.180476053161105,4.7996619147646,4.772157032145611,2.984032027112322,2.9737694638317897,2.7338322310549152,3.8137134823287813,3.3939273849122253,4.578522905827055,3.9532361827842797,4.851045637741077,3.5924319905308857,2.9749778302025436,4.8440198124584635,3.7471005705133744,3.18757853671171,4.222817541491439,2.4832506901748848,3.8547484815819417,2.873476477818032,3.9831127755329354,4.13330483343672
180,4.5522649062894,3.890104521442585,3.2341332195904546,4.847524931802894,5.1241494306681945,3.177784582489098,4.817237516493278,4.751042123436746,2.970919672235697,2.984676990808814,2.7385026447007634,3.772221850540808,3.350652610751321,4.5947239985765815,3.923836051788872,4.871281738518857,3.577268320103036,2.958444168842694,4.845578851005685,3.748664824058092,3.1619588538244527,4.251458170388896,2.5012893010109956,3.8449202292907865,2.882792252492458,3.969763477198657,4.173515248673073
185,4.510231612699816,3.9682782101768574,3.2090374987338324,4.882810810729585,5.018978491061235,3.2052089924659186,4.816174352591289,4.675068284006843,2.9686239506941536,2.9835128421987567,2.711471679308243,3.7350000154431187,3.3472729001988935,4.603248275761129,3.8713094004272115,4.887880842826134,3.554508216000788,2.9448848998849066,4.867464200075254,3.731071356893242,3.1367519564081934,4.312655308145782,2.522259768368601,3.8281263942224704,2.8776652327724044,3.953699568488211,4.2186717705593635
190,4.471746362765295,4.020308181006916,3.201731221952464,4.905876537731826,4.962286802727887,3.239773284645285,4.7995671839740055,4.618047437849014,2.994999192297637,2.9715552503226452,2.6713838373559042,3.7487760405604456,3.37074451436041,4.595826692781152,3.7948557932975793,4.889572792954268,3.533273569613776,2.9140873581943096,4.904763761836662,3.711755453337864,3.1275634635308274,4.375497421631159,2.519328285342644,3.8298258729890464,2.8605230504854755,3.9479773128976166,4.237280038586217
195,4.467124893631299,4.017866746695574,3.211292451030921,4.921043486338419,4.996219114582575,3.2555343431727666,4.780343782119513,4.633064780899388,3.0308939161359754,2.9636671612619243,2.650561107213085,3.8229152090587823,3.397745695480507,4.592362186053444,3.693355782370308,4.891578884338714,3.5315944718999615,2.876561898065804,4.941950528054279,3.701794743345165,3.132614779308272,4.398621151506393,2.494746805987285,3.8542488062570848,2.843731437832311,3.95169165439626,4.231948522460612
200,4.5213109412112535,3.9833279573337554,3.215777178265196,4.928865568276863,5.129099356169938,3.2463387050879304,4.780955265014474,4.694451674948947,3.034966609612117,2.9620697084215037,2.66891249146256,3.901508451213646,3.407177473284225,4.612804261928074,3.5950225509762173,4.899151585742976,3.5734088199017497,2.8768148415703467,4.971260011831572,3.711108801639247,3.132159560359173,4.368730811641208,2.477854585161074,3.871952144676913,2.8371214187766154,3.9561484537127924,4.238655694986584
205,4.603561678450907,3.9414388981197277,3.2004651778009596,4.9185899831193804,5.300764996318237,3.228271544491812,4.816592702656561,4.727688734769764,3.0047783171854245,2.9544645960663143,2.7126295509711444,3.923501399325466,3.3792418144268983,4.655933526362168,3.537105467959623,4.905389853391967,3.6372479634704677,2.9246991816135965,4.9850332808863085,3.746072471285627,3.121259692770444,4.3196794734318695,2.49316299028203,3.855890131152902,2.8406959442495863,3.955022440683649,4.274780932042866
210,4.629477225304263,3.9023989652344717,3.177177539093021,4.879620248387568,5.4120527120172905,3.212639139180148,4.8718485054909975,4.702706846477534,2.9910746582987446,2.9373490180869193,2.7409514700836564,3.8901126784757425,3.3214481109663527,4.702991697422691,3.5117816463983504,4.9179763393507585,3.6390303889101454,2.9709300602097053,4.978143956778243,3.7928880473550426,3.1126772122228648,4.297023039661969,2.5283106031590226,3.8167271931316376,2.850278001265908,3.9473827175892797,4.314287202482697
215,4.563188298566282,3.8906265166504057,3.170820896501017,4.8253065200333545,5.415511422164671,3.1958960736246613,4.907768259417266,4.666470704710838,3.0306622372864047,2.9202355666270767,2.728940173249813,3.8500219152971376,3.2798253836379963,4.740926845169271,3.4702085800005773,4.948900071626667,3.5329416917988277,2.966285774231351,4.967802478133521,3.825544383005836,3.1062517566311802,4.309707215515225,2.5421749478871547,3.79006476485399,2.8632131690601876,3.9381589843860523,4.334935705997608
220,4.469966251689604,3.934346754526539,3.1881757457752236,4.793490912156758,5.35391203673796,3.1825842406099865,4.901285974864954,4.676505268046177,3.089158312996167,2.9111162187813613,2.7018775791746807,3.837413951067255,3.295920664204232,4.774277304732078,3.391973439833352,4.9840593155411135,3.4137779911780535,2.9139688416992566,4.9795919289898745,3.8497000112309787,3.087787732150038,4.333617935750161,2.5168762272500005,3.795850320516883,2.8735101015914615,3.9314548957491326,4.352030274916656
225,4.424304141823819,4.016965599181686,3.210824949905838,4.807085191834744,5.305921921983185,3.1857303876816436,4.8713376219416205,4.734111164395787,3.1072900907962033,2.9134722124624646,2.7008423063044775,3.8498444196850032,3.3566663733218625,4.808600872623292,3.315126825413882,4.998334108321741,3.417376255897445,2.861376102583798,5.012025296057334,3.899736574078997,3.0605900743451464,4.35258483543555,2.4874049876815665,3.823985389561795,2.869856248912409,3.9225219304286774,4.381998717687001
230,4.413783223852086,4.071746611998421,3.2219933722418252,4.840702474487905,5.313443060833523,3.1913495659716897,4.8619561333605015,4.777043191236352,3.0893336872010684,2.927300278287035,2.7230506822656078,3.8754259542478593,3.4054361432540556,4.837857242192524,3.281356756222737,4.999488248884313,3.515064599267609,2.856430611141108,5.0491911253321105,3.963578601438568,3.0618905864080763,4.3742312701381385,2.5009987835477236,3.8501520747061186,2.8480512446799966,3.914282388647449,4.402173685656983
235,4.371359825512411,4.037695261161288,3.225252944795004,4.84536365261166,5.366157456456021,3.1563446101206116,4.902445662981937,4.727299714459895,3.094275979521903,2.9459435300434054,2.729464085120306,3.913136829503983,3.399630167095255,4.856573016027344,3.288230876987622,5.023580310412333,3.53491565355521,2.912656996491513,5.09658091046451,3.9700244511031078,3.138232282360352,4.409727471888585,2.562401691722947,3.8537812449460986,2.819915091473582,3.931284980801839,4.371801406061512
240,4.275310198363507,3.9226111236286374,3.229778227432406,4.808719346825267,5.437038151933167,3.0691090171870647,4.983115561162492,4.579735753496525,3.1448268361763096,2.96297494871905,2.705157073547445,3.9621819792918638,3.347026733949092,4.868620212669157,3.3110728087520522,5.081601497352612,3.4123496211439917,3.007809319169381,5.162916821853964,3.895575244946637,3.287188913863264,4.456974035719622,2.644365228068361,3.8342091243341554,2.7969156472305805,3.983257799573644,4.288903803969424
